,account_value,datadate
0,1000000.0,20190211
1,1000148.2693995333,20190212
2,1000410.0403044628,20190213
3,1000577.7330500366,20190214
4,1000356.5578562982,20190215
5,1000431.0554391447,20190218
6,1000653.7299727377,20190219
7,1000927.1358917647,20190220
8,1001505.4060567109,20190221
9,1001655.4710623212,20190222
10,1002004.814934525,20190225
11,1001336.7410943431,20190226
12,1001595.9269453879,20190227
13,1000231.8165617696,20190228
14,1000895.6398224008,20190301
15,1002259.3754335496,20190304
16,1002358.3030143512,20190305
17,1002311.4449905005,20190306
18,1002349.2536680365,20190307
19,1001624.1623294113,20190308
20,1001714.7751787287,20190311
21,1002420.6173212612,20190312
22,1002784.7829851661,20190313
23,1003466.3112156859,20190314
24,1002860.706096659,20190315
25,1003419.0598215167,20190318
26,1002907.8352112079,20190319
27,1002658.5791304205,20190320
28,1001115.4583319995,20190321
29,1001707.1539524845,20190322
30,999361.5883915122,20190325
31,999226.4968634051,20190326
32,1000004.2882639943,20190327
33,1000769.8177770438,20190328
34,1000457.0389803632,20190329
35,1001685.2350536729,20190401
36,1001299.3819720446,20190402
37,1000435.1345037427,20190403
38,1001346.6986527068,20190404
39,1001472.4815878106,20190405
40,1002200.6110382931,20190408
41,1001495.5581912149,20190409
42,1000085.3188287544,20190410
43,1000829.3472683294,20190411
44,1000060.4262950196,20190412
45,999197.6461509205,20190416
46,998634.3044186137,20190417
47,997164.271847487,20190418
48,998019.5554922642,20190419
49,998059.3600635881,20190422
50,999097.4342076797,20190423
51,999823.6108798257,20190424
52,998657.1679244015,20190425
53,998847.0800050778,20190426
54,997844.0167190229,20190502
55,995995.7529234483,20190503
56,993327.2477079895,20190506
57,994718.8997304406,20190507
58,993663.5804655156,20190508
59,992329.3008146299,20190509
60,992747.2896262743,20190510
61,993763.4393950774,20190513
62,994579.9757304749,20190514
63,996764.7477119444,20190515
64,996632.8260924199,20190516
65,996533.3862304556,20190517
66,999260.2970018114,20190520
67,1000110.8207291013,20190521
68,999590.9059639137,20190522
69,1000322.5579040069,20190523
70,997198.0459201232,20190524
71,996949.8019586018,20190527
72,996659.7620437199,20190528
73,996733.0867896107,20190529
74,996183.047938286,20190530
75,994657.2976322559,20190531
76,993253.0380673247,20190603
77,993632.8791432158,20190604
78,994461.3827346762,20190605
79,994248.757457861,20190606
80,996000.4016845645,20190607
81,996974.0626650911,20190610
82,997124.2663021827,20190611
83,995487.8086099452,20190612
84,994190.8156895852,20190613
85,994676.8935185474,20190614
86,993109.0886575109,20190617
87,992462.1001785173,20190618
88,993524.8450707927,20190619
89,995539.2590344561,20190620
90,995300.901182708,20190621
91,996381.8199449942,20190624
92,995847.7874747869,20190625
93,995909.5881493421,20190626
94,993090.6083143081,20190627
95,994323.3604014094,20190628
96,997350.2968774362,20190701
97,996230.5711669581,20190702
98,995641.2679132792,20190703
99,997807.4460148966,20190704
100,997686.8564898218,20190705
